Classification,Centroid X µm,Centroid Y µm
Iba1,137.74,276.65
SOX2,158.21,278.39
Iba1,288.37,279.55
Iba1,89.53,279.25
SOX2,39.59,278.07
SOX2,264.26,279.04
SOX2,117.01,279.51
SOX2: Ki67,323.95,279.84
SOX2,68.25,280.12
Iba1,167.33,281.25
SOX2,127.19,280.59
Iba1,336.37,281.31
SOX2,275.43,280.2
SOX2,253.84,283.7
SOX2,21.89,285.1
SOX2,152.61,285.74
Iba1,34.48,284.47
SOX2,110.72,284.63
SOX2,137.83,285.18
Neither,41.49,285
SOX2,127.74,289.06
Neither,189.56,285.76
Neither,236.83,285.77
Neither,276.94,287.24
Neither,49.84,285.3
Neither,197.27,285.87
SOX2,15.11,286.09
SOX2,176.18,287.52
Iba1,8.655,287.17
Neither,119.72,288.35
SOX2,64.62,289.69
SOX2,309.32,288.58
SOX2,324.28,288.74
Neither,143.64,290.96
SOX2,40.72,293.12
SOX2,54.57,290.93
Iba1,48.78,291.89
SOX2,109.88,291.38
Neither,224.59,290.71
Neither,195.51,293.15
SOX2,23.99,293.21
Neither,202.02,296.37
Neither,14.78,292.24
SOX2,7,296.3
Neither,103.89,294.65
Neither,285.05,295.54
Iba1,95.59,296.91
Iba1,164.22,295.89
Iba1,222.93,298.71
Neither,16.34,297.45
Iba1,58.11,297.38
Iba1,127.86,296.12
Neither,119.33,297.19
SOX2,171.1,300.19
SOX2,109.89,299.25
Neither,142.25,299.74
Iba1,131.12,300.1
SOX2,45.8,300.18
SOX2,83.01,303.49
SOX2,124.63,304.9
Iba1,73.75,302.67
Neither,18.72,301.83
SOX2,52.75,304.15
SOX2,190.63,304.37
SOX2,40.68,305.13
SOX2,61.98,304.08
Neither,135.66,305.87
Iba1,105.84,305.41
SOX2,17.57,307.14
SOX2: Ki67,115.26,307.8
SOX2,98.75,308.77
SOX2,32.65,309.5
SOX2,56.51,310.84
SOX2,204.1,308.36
Iba1,209.37,312.25
SOX2,89.67,310.18
Iba1,64.85,310.93
Iba1,240.68,310.69
SOX2,78.14,312.06
Iba1,137.93,312.91
SOX2,251.62,315.08
Iba1,173.98,315.89
SOX2,119.83,315.32
SOX2,128.78,316.06
Iba1,24.72,317.03
Neither,103.53,315.38
SOX2,259.2,313.9
Neither,348.99,315.95
Iba1,37.8,316.13
Iba1,62.59,316.98
SOX2,89.68,318.03
SOX2,75.95,319.32
SOX2: Ki67,195.74,318.93
Iba1,241.78,317.87
SOX2,48.47,318.38
Iba1,160.67,318.69
SOX2,137.37,320.42
Iba1,108.39,321.27
Iba1,221.46,321.33
SOX2,117.69,322.69
Iba1,247.77,325.72
Neither,444.46,324.79
Iba1,60.28,324.93
Iba1,129.08,324.88
SOX2,92.39,328.12
Neither,378.9,326.57
Iba1,103.73,327.15
Iba1,83.1,327.49
Iba1,72.91,328.15
Neither,151.39,326.93
SOX2,140.55,328.55
Neither,349.84,327.1
SOX2,123.62,330.98
Iba1,165,330.22
Neither,200.29,331.78
SOX2,216.55,332.1
Iba1,148.79,333.49
