Classification,Parent,Centroid X µm,Centroid Y µm
,Annotation,1454.5,7.368
,Annotation,1443.7,10.19
,Annotation,1335.9,25.84
,Annotation,1184.7,13.64
,Annotation,1298.1,11.51
,Annotation,1467.6,13.4
,Annotation,1395.2,17.13
,Annotation,1461.5,15.19
,Annotation,1642.5,15.19
,Annotation,1308.6,18.88
,Annotation,1425.8,18.35
,Annotation,1447.5,18.48
,Annotation,1193,21.35
,Annotation,1166.6,19.71
,Annotation,1206,20.64
,Annotation,1470.7,30.74
,Annotation,1525.9,23.2
,Annotation,1455.8,33.61
,Annotation,1299.5,25.58
,Annotation,1312.8,31.55
,Annotation,1197.9,27.7
,Annotation,1213.2,30.58
,Annotation,1205.1,29.79
,Annotation,1485.3,30.82
,Annotation,1672.9,29.89
,Annotation,1684.2,36.19
,Annotation,1258.7,35.38
,Annotation,1461.7,32.19
,Annotation,1696.4,34.78
,Annotation,1287.4,38.36
,Annotation,1198.4,38.01
,Annotation,1388.6,39.46
,Annotation,1448.9,38.23
,Annotation,1156.9,42.03
,Annotation,1707.8,40.24
,Annotation,1429.6,41.56
,Annotation,1493.9,41.02
,Annotation,1214.9,40.65
,Annotation,1485.7,43.33
,Annotation,1343.1,51.02
,Annotation,1596.7,48.58
,Annotation,1399.1,43.83
,Annotation,1453.7,55.28
,Annotation,1301.4,46.32
,Annotation,1325,52
,Annotation,1205.2,47.05
,Annotation,1377.3,47.78
,Annotation,1471.2,47.87
,Annotation,1241.4,51.33
,Annotation,1316.3,48.22
,Annotation,1391.7,55.1
,Annotation,1405.8,55.75
,Annotation,1432.5,54.75
,Annotation,1335.2,53.23
,Annotation,1299.5,53.89
,Annotation,1213.9,51.92
,Annotation,1204.7,55.94
,Annotation,1464.7,54.4
,Annotation,1309.3,57.36
,Annotation,1474.4,57.49
,Annotation,1315.6,55.72
,Annotation,1277.2,58.23
,Annotation,1215.6,59.45
,Annotation,1185.5,59.56
,Annotation,1299.4,61.28
,Annotation,1471.8,67.79
,Annotation,1443,67.66
,Annotation,1330.2,64.6
,Annotation,1512.1,65.77
,Annotation,1461.7,64.24
,Annotation,1318.2,63.44
,Annotation,1606.5,63.38
,Annotation,1424.4,65.14
,Annotation,1305.7,68.21
,Annotation,1391.5,67
,Annotation,1274,67.47
,Annotation,1313.1,67.28
,Annotation,1343.9,70.58
,Annotation,1708.2,68.57
,Annotation,1231.2,67.46
,Annotation,1413.9,69.16
,Annotation,1696.7,74.05
,Annotation,1177.4,68.73
,Annotation,1298.6,71.1
,Annotation,1333.2,70.66
,Annotation,1225.5,73.15
,Annotation,1605.9,77.27
,Annotation,1429.4,77.1
,Annotation,1463.5,76.96
,Annotation,1453.4,76.69
,Annotation,1273.9,86.38
,Annotation,1389.2,76.72
,Annotation,1203.4,76.9
,Annotation,1332,76.63
,Annotation,1521.2,79.42
,Annotation,1340.2,80.43
,Annotation,1396.8,79.05
,Annotation,1407.7,79.64
,Annotation,1477.1,87.47
,Annotation,1719.1,84.26
,Annotation,1176.8,78.15
,Annotation,1184.6,82.19
,Annotation,1535.8,80.57
,Annotation,1510.9,82.83
,Annotation,1195.4,83.65
,Annotation,1329.9,83.93
,Annotation,1482.6,81.64
,Annotation,1170.7,82.99
,Annotation,1456.5,88.14
,Annotation,1176.2,87.52
,Annotation,1202.6,87.81
,Annotation,1422.6,87.93
,Annotation,1342,91.5
,Annotation,1400.8,88.92
,Annotation,1373.6,88.86
,Annotation,1530.6,89.62
,Annotation,1252,88.45
,Annotation,1436.4,89.23
,Annotation,1521.2,91.27
,Annotation,1511.2,91.76
,Annotation,1486.8,91.23
,Annotation,1432.9,95.53
,Annotation,1330.3,92.91
,Annotation,1284.6,95.44
,Annotation,1451.2,99.56
,Annotation,1198.1,96.15
,Annotation,1441.8,95.57
,Annotation,1255.8,97.49
,Annotation,1378,99.32
,Annotation,1528.5,96.56
,Annotation,1397,98.09
,Annotation,1314.9,97.96
,Annotation,1420.4,95.73
,Annotation,1536,99.28
,Annotation,1519.6,98.02
,Annotation,1488.6,98.14
,Annotation,1428.1,103.18
,Annotation,1331.3,100.37
CD3,Annotation,1415.3,100.39
,Annotation,1724.9,101.96
,Annotation,1480.8,103.37
,Annotation,1542.9,101.87
,Annotation,1405.7,103.84
,Annotation,1249.9,106.23
,Annotation,1492.7,104.49
,Annotation,1526.2,106.5
,Annotation,1399.1,105.96
